,BN_cooler [MHz],PhotoEm [V],Error [V]
0,1017,0.05160599419518797,0.003189282432578064
1,1019,0.04963291970635172,0.0038487027007530006
2,1021,0.050856920609884775,0.0041934195181727455
3,1023,0.08361835872985705,0.0031485739965081416
4,1025,0.08861178785261009,0.0021365734483150683
5,1027,0.0961238768949454,0.0022762613236621634
6,1029,0.09893283792937121,0.0016032516322477864
7,1031,0.08846636671487548,0.0018727748182324384
8,1033,0.07037052129997926,0.0019010422621317863
9,1035,0.053264847484853786,0.0019524982159564144
10,1037,0.046298940867023956,0.001898366918820406
11,1039,0.03582107093061064,0.0019898290947790182
12,1041,0.031071058357865753,0.0018535921846651207
13,1043,0.02709557702705645,0.001900643563994761
14,1045,0.02601267587871714,0.0017852119401320452
15,1047,0.019834005044866737,0.0019586805531188684
16,1049,0.02019808244599755,0.0018321907244444994
